,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
84,Single,University,1095,Côte d'Ivoire,,Other,1.0,"More than 3, specify",,Une Startup agicole avec a son sein 10 employés travaillant en collaboration avec des coopératives dans la production de vivriers et maraîcher destinés à ma vente groupée pilotée par la direction de la Startup ,"Other, specify",Bouafle et Beoumi ,Yes,No,,"Local Markets ,Regional Markets ",Between 5 and 25 millions,Maraîcher et vivrier,"Yes, specify",produit,directeur,Oui,Entreprise individuelle ,Autres,Union des Maraîchers du Gbeke,Fournisseur ,"Les coopérative de femmes productrices d'attieke, placali, les société de fabrication de farine et pain",No,On loue des camion avec l'union des transporteurs de la zone,La logistique et du matériel d'irrigation pour produire à tout moment de l'année ,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 5 and 25 millions,March ,Between one and 3 years ,Every semester,Inputs,No,,,,,,,Yes,SIB,Promoter,10,Les institutions financières sont simples et ont des principes et règles si tu apte tu auras un financement ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Promoter,10,Nous n'avions jamais eu de problème dz transaction avec les structures de mobile money,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,41-50%,41-50%,No,31-40%,"Yes, explain","Yes, explain","Création d'emplois à temps plein et d'emplois occasionnels.
","Yes, explain",Nous pratiquo's l'agro écologique et l'agriculture raisonnée ,,0,0,1,0,0,1,800000.0,15.0
85,Married,University,1977,Côte d'Ivoire,,Women-Led SME,3.0,"More than 3, specify",4.0,"Notre entreprise a le département événementiel qui au cours des évènements qu'elle organise ou qui lui sont confiés, fournit de la nourriture. Ce qui nous a amener a créér le département agroalimentaire. Ce département transforme les produits  locaux tels que le manioc, le gingembre, le Cacao et divers épices.",Abidjan ,,Yes,No,,Local Markets ,Between 5 and 25 millions,Cassava,"Yes, specify",banane,directrice,Oui,SARL,Déclaration fiscale d'existence DFE,Plateforme des Femmes du secteur vivrier de côte d'ivoire (PFSV-CI),Les coopératives que nous encadrons à M'Batto. Il y a celles qui produisent et celles qui transforment.,La PFSV-CI,No,"Nous louons des fourgonnettes, parfois des trycicles ou taxis compteurs pour livrer nos produits.","La certification de nos produits, le paiement du référencement de nos produits dans certaines grandes surfaces, le besoin en fond de roulement","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Trade finance for export ,Insurance",Between 50 and 100 millions,January ,More than 3 years,Every trimester,Taxes,No,,,,,,,Yes,COOPEC ,Detractor,5,Elles demandent trop de conditions et le taux d'intérêt élevé.,Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,8,"C'est rapide, facilement accessible, moins de contraintes, pas d'avion ni de frais d'entretien.",No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,61-70%,41-50%,Yes,81-90%,No,"Yes, explain",Nous souhaitons des actions sociales de l'ONG BOKA'M et créons des emplois directes et indirectes lors de nos événements. Nous soutenons les femmes a se mettre en coopératives.,"Yes, explain",Nous respectons la température de séchage de produits et le conditionnement,4.0,1,0,1,1,1,0,111.0,65.0
86,Single,Primary,1973,Côte d'Ivoire,,Cooperative,19.0,"More than 3, specify",10.0,Production de manioc frais et transformation en placali,"Other, specify",Buyo (village Wonsealy V2),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",culture,zeguema,Oui,ZEGUEMA,Statuts et règlements intérieurs,ZEGUEMA,les membres de la coopérative,les revendeuses du marché locale,No,location de tricycle,Difficulté d'avoir des véhicules,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment)",Less than 1 million,March ,Between one and 3 years ,Every semester,Logistics,No,,,,,,,Yes,COOPEC ,Passive,8,l'argent est en sécurité mais les frais d'entretient trop élévé,Yes for personal expenditures,Monthly ,Other :,Conserver l'argent,Passive,8,les frais sont réduits,AVEC,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,Yes,More than 90%,No,"Yes, explain","-Aide les femmes a etre autonome financièrement
-La coopérative occupe les femmes
-les enfants arrivent a être inscris à l'école","Yes, explain",,20.0,0,0,1,0,1,0,250000.0,500000.0
87,Married,High School ,1958,Côte d'Ivoire,,Women’s association ,2.0,"More than 3, specify",10.0,Production de manioc frais,"Other, specify",soubre-meagui (village GNITI TOUAGUI),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",culture,présidente,Oui,AFDAG,Statuts et règlements intérieurs,AFDAG,les membres de l'association,les révendeuses ou femmes qui fabrique de l'attiéké,No,location de véhicule,manque de transport ,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Less than 1 million,"January ,February ",Between one and 3 years ,Every semester,Logistics,No,,,,,,,No,,Passive,8,La banque donne crédit et l'argent est en sécurité,Yes for personal expenditures,Monthly ,Other :,Garder l'argent,Passive,8,L'argent est en sécurité,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,No,More than 90%,No,"Yes, explain",le developpement du village,"Yes, explain",,20.0,0,0,1,0,0,0,150000.0,500000.0
88,Married,Middle School,1980,Côte d'Ivoire,,Women’s association ,46.0,"More than 3, specify",5.0,Vente en groupe,Yamoussoukro ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",,secrétaire,Oui,Association,Statuts et règlements intérieurs,Aucun,Nos membres,,No,Location,Problème de route,Agri Cash (liquidities),Between 1 and 5 millions,"March ,April ,June ,July ,November ,December",Between 3 months and a year,Every trimester,Charges ,No,,,,,,,No,,Detractor,5,Aucune idée,Yes for personal expenditures,Weekly ,"Transfer money,Pay bills",,Passive,8,Il sont au village,No,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,No,Yes,More than 90%,More than 90%,No,More than 90%,No,"Yes, explain",Les membres de font de l'argent,"Yes, explain",C'est pour les membres,46.0,1,0,1,1,1,0,,
89,Single,University,1985,Côte d'Ivoire,,Interprofession ,1.0,Less than 3 months ,,C'est des hectares de terrain qui doivent être cultivés .,"Other, specify",Alepe,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,No,,directeur,Non,,Autres,FPTMCI,,,No,,,Agri Cash (liquidities),Between 5 and 25 millions,March ,Between one and 3 years ,Every month,Inputs,No,,,,,,,Yes,BNI Banque Nationale d’Investissement ,Passive,8,"Je fais confiance aux institutions financières parce qu' elles sécurisent mon argent et elles me donnent des opportunités : 
-Financement de projets ,
-Achats d' actions et obligations ,
-Investissement en bourse .",Yes for personal expenditures,Monthly ,Transfer money,,Promoter,10,Je fais confiance aux services de mobile money parce que mes transactions financières sont sécurisées. ,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,10-20%,10-20%,Yes,Less than 10%,"Yes, explain","Yes, explain","Oui , l'entreprise aura impact positif sur la communauté. Parce qu'elle va apporter satisfaction sur plusieurs points :
- Alimentaires ( produits de qualités et surtout en quantité suffisante ) ,
- Prix abordables ,
- Accessible à tous ( proximité ),
- etc .","Yes, explain",Mon modèle de production est durable. Il va s'exécuter sur différentes périodes (chaque mois ) de sorte à perpétuer la production. La production sera fréquente et progressive.,1.0,0,0,1,0,0,0,,10000000.0
90,Single,Professional training ,1964,Côte d'Ivoire,,Cooperative,15.0,"More than 3, specify",,"Production, collecte de manioc puis transformation et vente",Bouaké ,,No,No,,"Local Markets ,Regional Markets ",Between 100 and 250 millions,Cassava,"Yes, specify",arrachide,présidente,Oui,Societe Cooperative,Statuts et règlements intérieurs,HOUKAAGRI-CA,Les coopératives membres,"Les Femmes des marchés locaux de Abidjan, Bouaké, du Burkina,  et du Mali",No,Location de Tricycles ou de taxi-brousses,"Problème d'étude de marché extérieur et ses normes imposées, de conservation, d'acquisition de prêt pour étendre notre clientèle et aussi ameliorer la production.  Le non respect des contrats et les problèmes transfrontanniers. ","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Leasing (equipment, transport/logistics) ,Trade finance for export ,Insurance",Between 50 and 100 millions,"March ,August",More than 8 years,Every trimester,Logistics,No,,,,,,,Yes,,Passive,7,"Sécuriser les fonds, possibilité d'avoir prêt pour rentabiliser notre coopérative ",Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers",,Passive,7,On fait confiance pour des opérations rapides et pratiques. Facile à manipuler. Argent en sécurité. Et à porter de mains.,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,81-90%,71-80%,No,71-80%,"Yes, explain","Yes, explain",Ĺes femmes se font de l'argent par leur travail et son autonome,"Yes, explain",Car chaque semaine plusieurs groupes se produisent. Les productrices fournissent la matière et les autres font la transformation avec une citerne qui produit du bio-gaz pour la cuisson de l'attieké ,200.0,0,0,1,0,1,0,180000000.0,50000000.0
91,Married,University,1990,Côte d'Ivoire,,Family-Led SME,5.0,Between 3 and 6 months ,,"Nous pruisons et surventionnons des femmes qui produisent le manioc que nous rachetons pour transformer en divers produits comme le placali, l'attieké, le gari...avant de commercialiser sur le marché local et à l'extérieur du pays.",Abidjan ,,Yes,No,,"Local Markets ,Regional Markets ",Between 25 and 50 millions,Cassava,"Yes, specify",volaille,responsable,Oui,SARL,Registre de commerce,Aucune,Les femmes de la sous préfecture de Djebonoua,Des en provenance du Burkina Faso ,No,Nous louons ou colouons les camion pour transporter nos produits.,Nous avons une faible capacité de production qui ne nous permet pas de satisfere la demande.,Agri Cash (liquidities),Between 50 and 100 millions,August,More than 3 years,Every trimester,Charges ,No,,,,,,,Yes,Coris Bank,Detractor,4,Elle promettent beaucoup de services a ouverture du compte et après elle durcissent les conditions du prêt. ,Yes for personal expenditures,Daily,"Transfer money,Pay bills,Pay producers/ farmers,Pay business suppliers",,Passive,8,Fiable et sùr,,"Technical assistance, Coaching, Mentoring",Constitution d’un dossier agricole,No,Yes,51-60%,51-60%,No,More than 90%,"Yes, explain","Yes, explain",Nous permettons a assez de femmes de se prendre en charge au travers des retombés qu'elles récoltent de 'otre partenariat.,"Yes, explain",Notre matière première est toujours disponible  car produite par des personnes (femmes) motivées. ,11.0,1,0,1,0,1,1,,
92,Single,University,27/02/1979,,,Women’s association ,25.0,"More than 3, specify",,Groupement féminin donc 5 hommes pour la production et la transformation du manioc et la production et la commercialisation de légumes,"Other, specify",Boundiali,No,No,,Local Markets ,Between 1 and 5 millions,Maraichers,"Yes, specify",maraichers,conseiller,Oui,Association ,Statuts et règlements intérieurs,La plateforme manioc du bélier,Nous commercialisation du manioc et des dérivés ,"Les transformatrices, les restaurants et hôtels",No,Par te tricycle pour le manioc frais et taxis et tricycle pour les produits dérivés informations,Informations sur les marchés et réseautage,"Agri - Equipment (financing for equipment),Operational loan (working capital) ,Product financing (fertilizers, seeds, pesticides),Insurance",Between 1 and 5 millions,March ,Between one and 3 years ,Every year,Inputs,No,,,,,,,Yes,COOPEC ,Detractor,5,Elles ont un rôle fondamental dans le succès de nos entreprises par la mise à disposition de capitaux,Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers",,Passive,7,"Fluide, rapidité, assurance",,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,81-90%,71-80%,No,71-80%,"Yes, explain","Yes, explain","Stabilité des ménages par les AGR des. femmes, scolarisation des enfants ","Yes, explain",La production et la transformation du manioc sont inhérentes à notre communauté,25.0,0,0,1,0,1,0,23000000.0,5000000.0
93,Married,University,1983,Côte d'Ivoire,,Family-Led SME,,"More than 3, specify",1.0,petite entreprise familiale ou nous produisons le manioc ,Abidjan ,,No,No,,Local Markets ,More than 250 millions,Cassava,No,,directrice,Non,,Aucun document,federation des producteurs et transformteurs de manioc de cote d'ivoire,la structure qui nous livre des boutures de manioc est bouture d'Afrique qui sont base a Agboville.  ,probablement la structure bouture d'Afrique,No,location de tricycle,,Agri Cash (liquidities),More than 250 millions,"January ,February ,March ",Between 1 and 3 months,Every year,Labor ,No,,,,,,,Yes,Société générale (SGBCI),Promoter,10,nous faisons confiance au structure financières car elles sont les seule a nous garantir nos sources financieres ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ",,Promoter,10,on fait confiance juste parce que c'est une simple transaction de bout en bout sans paperasse,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,No,Yes,81-90%,71-80%,No,,"Yes, explain","Yes, explain",elles permet a la communaute d'avoir du travail et de quoi manger,"Yes, explain",on fait le champ de manioc chaque année,5.0,0,0,1,0,0,0,,3000000.0
94,Married,Professional training ,17/01/1978,Côte d'Ivoire,,Economic Interest Group,4.0,"More than 3, specify",4.0,Une organisation qui lutte contre le chômage et le sous emploi des diplômé âgé de 36 a 50 ans .. transformation du manioc en attieke et du placalie et de leur commercialisation. ,Abidjan ,,No,No,,"Local Markets ,International Markets",Between 1 and 5 millions,Cassava,No,,président,Oui,ASSOCIATION ,Autres,Non,Les producteurs de manioc et les vendeurs d'emballage .,Les revendeurs d ATTIEKE les ménages.  ,No,Le transport en commun ,Le transport des marchandises pour la livraison ,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,March ,Between 1 and 3 months,Every trimester,Charges ,No,,,,,,,Yes,,Promoter,9,C'est un meilleur garantie . Accès facile au prêt ,Yes for personal expenditures,Daily,Transfer money,,Passive,8,Fiable et rapide ,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,No,No,<10%,71-80%,No,Less than 10%,"Yes, explain","Yes, explain",Elle emploi le maximum de personnes ,"Yes, explain",Nos machines on une longue durée de vie . Le manioc est accessible . On peut acquérir de nouvelles machines ,25.0,1,0,0,0,1,0,15.0,4583000.0
